review_id,text,category,polarity,aspect.term,aspect.location,sentiment.term,sentiment.location,sentiment.type
ex_0403,"Hotel com condições gerais muito más. Infraestruturas bastante degradadas, sem elevador, casa de banho partilhada para 11 quartos por piso, sendo a sanita numa ponta do corredor e o chuveiro na outra ponta, estando os equipamentos sanitários bastante degradados e pouco funcionais. Quarto sem tv e com pouca privacidade, uma vez que a cortina era transparente. isolamento acústico muito fraco, pelo que se ouvia no piso todo sempre que alguém passava no corredor. Só há internet na recepção e na sala de convívio anexa à recepção, sendo esta sala um espaço escuro, degradado e sem o mínimo de condições. Para as condições que tem é demasiado caro. As únicas vantagens é que fica junto à estação de metro de belleville e que o quarto tinha bom aquecimento. Room Tip: Escolham outro hotel",general,NEG,Hotel,"[0, 5]",más,"[33, 36]",explicit
ex_0403,"Hotel com condições gerais muito más. Infraestruturas bastante degradadas, sem elevador, casa de banho partilhada para 11 quartos por piso, sendo a sanita numa ponta do corredor e o chuveiro na outra ponta, estando os equipamentos sanitários bastante degradados e pouco funcionais. Quarto sem tv e com pouca privacidade, uma vez que a cortina era transparente. isolamento acústico muito fraco, pelo que se ouvia no piso todo sempre que alguém passava no corredor. Só há internet na recepção e na sala de convívio anexa à recepção, sendo esta sala um espaço escuro, degradado e sem o mínimo de condições. Para as condições que tem é demasiado caro. As únicas vantagens é que fica junto à estação de metro de belleville e que o quarto tinha bom aquecimento. Room Tip: Escolham outro hotel",structure,NEG,Infraestruturas,"[38, 53]",degradadas,"[63, 73]",explicit
ex_0403,"Hotel com condições gerais muito más. Infraestruturas bastante degradadas, sem elevador, casa de banho partilhada para 11 quartos por piso, sendo a sanita numa ponta do corredor e o chuveiro na outra ponta, estando os equipamentos sanitários bastante degradados e pouco funcionais. Quarto sem tv e com pouca privacidade, uma vez que a cortina era transparente. isolamento acústico muito fraco, pelo que se ouvia no piso todo sempre que alguém passava no corredor. Só há internet na recepção e na sala de convívio anexa à recepção, sendo esta sala um espaço escuro, degradado e sem o mínimo de condições. Para as condições que tem é demasiado caro. As únicas vantagens é que fica junto à estação de metro de belleville e que o quarto tinha bom aquecimento. Room Tip: Escolham outro hotel",structure,NEG,elevador,"[79, 87]",sem,"[75, 78]",explicit
ex_0403,"Hotel com condições gerais muito más. Infraestruturas bastante degradadas, sem elevador, casa de banho partilhada para 11 quartos por piso, sendo a sanita numa ponta do corredor e o chuveiro na outra ponta, estando os equipamentos sanitários bastante degradados e pouco funcionais. Quarto sem tv e com pouca privacidade, uma vez que a cortina era transparente. isolamento acústico muito fraco, pelo que se ouvia no piso todo sempre que alguém passava no corredor. Só há internet na recepção e na sala de convívio anexa à recepção, sendo esta sala um espaço escuro, degradado e sem o mínimo de condições. Para as condições que tem é demasiado caro. As únicas vantagens é que fica junto à estação de metro de belleville e que o quarto tinha bom aquecimento. Room Tip: Escolham outro hotel",structure,NEG,casa de banho,"[89, 102]",partilhada,"[103, 113]",explicit
ex_0403,"Hotel com condições gerais muito más. Infraestruturas bastante degradadas, sem elevador, casa de banho partilhada para 11 quartos por piso, sendo a sanita numa ponta do corredor e o chuveiro na outra ponta, estando os equipamentos sanitários bastante degradados e pouco funcionais. Quarto sem tv e com pouca privacidade, uma vez que a cortina era transparente. isolamento acústico muito fraco, pelo que se ouvia no piso todo sempre que alguém passava no corredor. Só há internet na recepção e na sala de convívio anexa à recepção, sendo esta sala um espaço escuro, degradado e sem o mínimo de condições. Para as condições que tem é demasiado caro. As únicas vantagens é que fica junto à estação de metro de belleville e que o quarto tinha bom aquecimento. Room Tip: Escolham outro hotel",structure,NEG,tv,"[293, 295]",sem,"[289, 292]",explicit
ex_0403,"Hotel com condições gerais muito más. Infraestruturas bastante degradadas, sem elevador, casa de banho partilhada para 11 quartos por piso, sendo a sanita numa ponta do corredor e o chuveiro na outra ponta, estando os equipamentos sanitários bastante degradados e pouco funcionais. Quarto sem tv e com pouca privacidade, uma vez que a cortina era transparente. isolamento acústico muito fraco, pelo que se ouvia no piso todo sempre que alguém passava no corredor. Só há internet na recepção e na sala de convívio anexa à recepção, sendo esta sala um espaço escuro, degradado e sem o mínimo de condições. Para as condições que tem é demasiado caro. As únicas vantagens é que fica junto à estação de metro de belleville e que o quarto tinha bom aquecimento. Room Tip: Escolham outro hotel",structure,NEG,cortina,"[335, 342]",transparente,"[347, 359]",explicit
ex_0403,"Hotel com condições gerais muito más. Infraestruturas bastante degradadas, sem elevador, casa de banho partilhada para 11 quartos por piso, sendo a sanita numa ponta do corredor e o chuveiro na outra ponta, estando os equipamentos sanitários bastante degradados e pouco funcionais. Quarto sem tv e com pouca privacidade, uma vez que a cortina era transparente. isolamento acústico muito fraco, pelo que se ouvia no piso todo sempre que alguém passava no corredor. Só há internet na recepção e na sala de convívio anexa à recepção, sendo esta sala um espaço escuro, degradado e sem o mínimo de condições. Para as condições que tem é demasiado caro. As únicas vantagens é que fica junto à estação de metro de belleville e que o quarto tinha bom aquecimento. Room Tip: Escolham outro hotel",structure,NEG,isolamento acústico,"[361, 380]",fraco,"[387, 392]",explicit
ex_0403,"Hotel com condições gerais muito más. Infraestruturas bastante degradadas, sem elevador, casa de banho partilhada para 11 quartos por piso, sendo a sanita numa ponta do corredor e o chuveiro na outra ponta, estando os equipamentos sanitários bastante degradados e pouco funcionais. Quarto sem tv e com pouca privacidade, uma vez que a cortina era transparente. isolamento acústico muito fraco, pelo que se ouvia no piso todo sempre que alguém passava no corredor. Só há internet na recepção e na sala de convívio anexa à recepção, sendo esta sala um espaço escuro, degradado e sem o mínimo de condições. Para as condições que tem é demasiado caro. As únicas vantagens é que fica junto à estação de metro de belleville e que o quarto tinha bom aquecimento. Room Tip: Escolham outro hotel",price,NEG,caro,"[642, 646]",demasiado,"[632, 641]",explicit
ex_1024,"O hotel segue corretamente os padrões do Mercure o que significa ser bom. Excelente localização, isolamento acústico muito bom. A funcionária que me recebeu na recepção visivelmente não gosta de brasileiros o que causou uma impressão ruim. Os quartos são pequenos e quase não tem espaço para as malas.",location,POS,localização,"[84, 95]",Excelente,"[74, 83]",explicit
ex_1024,"O hotel segue corretamente os padrões do Mercure o que significa ser bom. Excelente localização, isolamento acústico muito bom. A funcionária que me recebeu na recepção visivelmente não gosta de brasileiros o que causou uma impressão ruim. Os quartos são pequenos e quase não tem espaço para as malas.",structure,POS,isolamento acústico,"[97, 116]",bom,"[123, 126]",explicit
ex_1024,"O hotel segue corretamente os padrões do Mercure o que significa ser bom. Excelente localização, isolamento acústico muito bom. A funcionária que me recebeu na recepção visivelmente não gosta de brasileiros o que causou uma impressão ruim. Os quartos são pequenos e quase não tem espaço para as malas.",structure,POS,hotel,"[2, 7]",bom,"[69, 72]",explicit
ex_1024,"O hotel segue corretamente os padrões do Mercure o que significa ser bom. Excelente localização, isolamento acústico muito bom. A funcionária que me recebeu na recepção visivelmente não gosta de brasileiros o que causou uma impressão ruim. Os quartos são pequenos e quase não tem espaço para as malas.",service,NEG,recepção,"[160, 168]",ruim,"[234, 238]",explicit
ex_1024,"O hotel segue corretamente os padrões do Mercure o que significa ser bom. Excelente localização, isolamento acústico muito bom. A funcionária que me recebeu na recepção visivelmente não gosta de brasileiros o que causou uma impressão ruim. Os quartos são pequenos e quase não tem espaço para as malas.",structure,NEG,quartos,"[243, 250]",pequenos,"[255, 263]",explicit
ex_0445,"O hotel é muito luxuoso e em frente o central park, pena que o café da manhã é tão ridículo. Nem combina com a suntuosidade do local e com o alto preço da diária. Não tem frios nem ovos mexidos, apenas coisas industrializadas, muffins açucarados, pães doces muuuuito doces, pouquíssima fruta. Espero que tenha mudado neste aspecto, que é único ponto negativo no local. No mais, é tudo perfeito, principalmente a simpatia dos funcionários, inclusive um senhor que fala português e fica na recepção.",general,POS,hotel,"[2, 7]",luxuoso,"[16, 23]",explicit
ex_0445,"O hotel é muito luxuoso e em frente o central park, pena que o café da manhã é tão ridículo. Nem combina com a suntuosidade do local e com o alto preço da diária. Não tem frios nem ovos mexidos, apenas coisas industrializadas, muffins açucarados, pães doces muuuuito doces, pouquíssima fruta. Espero que tenha mudado neste aspecto, que é único ponto negativo no local. No mais, é tudo perfeito, principalmente a simpatia dos funcionários, inclusive um senhor que fala português e fica na recepção.",service,NEG,café da manhã,"[63, 76]",ridículo,"[83, 91]",explicit
ex_0445,"O hotel é muito luxuoso e em frente o central park, pena que o café da manhã é tão ridículo. Nem combina com a suntuosidade do local e com o alto preço da diária. Não tem frios nem ovos mexidos, apenas coisas industrializadas, muffins açucarados, pães doces muuuuito doces, pouquíssima fruta. Espero que tenha mudado neste aspecto, que é único ponto negativo no local. No mais, é tudo perfeito, principalmente a simpatia dos funcionários, inclusive um senhor que fala português e fica na recepção.",price,NEG,preço,"[146, 151]",alto,"[141, 145]",explicit
ex_0445,"O hotel é muito luxuoso e em frente o central park, pena que o café da manhã é tão ridículo. Nem combina com a suntuosidade do local e com o alto preço da diária. Não tem frios nem ovos mexidos, apenas coisas industrializadas, muffins açucarados, pães doces muuuuito doces, pouquíssima fruta. Espero que tenha mudado neste aspecto, que é único ponto negativo no local. No mais, é tudo perfeito, principalmente a simpatia dos funcionários, inclusive um senhor que fala português e fica na recepção.",service,POS,funcionários,"[425, 437]",simpatia,"[412, 420]",explicit
ex_1692,"O hotel em geral é bom, o que achamos ruim foi o tamanho do quarto e do banheiro. Em se tratando de Paris já esperávamos encontrar um quarto pequeno, mas mesmo assim ficamos decepcionados. Chegamos com duas malas grandes, foi uma dificuldade abri-las. Localização ótima, a duas quadras de St Germain. Mercados e restaurantes próximos. Funcionários atenciosos. Internet free, boa qualidade.",general,POS,hotel,"[2, 7]",bom,"[19, 22]",explicit
ex_1692,"O hotel em geral é bom, o que achamos ruim foi o tamanho do quarto e do banheiro. Em se tratando de Paris já esperávamos encontrar um quarto pequeno, mas mesmo assim ficamos decepcionados. Chegamos com duas malas grandes, foi uma dificuldade abri-las. Localização ótima, a duas quadras de St Germain. Mercados e restaurantes próximos. Funcionários atenciosos. Internet free, boa qualidade.",structure,NEG,quarto,"[60, 66]",ruim,"[38, 42]",explicit
ex_1692,"O hotel em geral é bom, o que achamos ruim foi o tamanho do quarto e do banheiro. Em se tratando de Paris já esperávamos encontrar um quarto pequeno, mas mesmo assim ficamos decepcionados. Chegamos com duas malas grandes, foi uma dificuldade abri-las. Localização ótima, a duas quadras de St Germain. Mercados e restaurantes próximos. Funcionários atenciosos. Internet free, boa qualidade.",structure,NEG,banheiro,"[72, 80]",ruim,"[38, 42]",explicit
ex_1692,"O hotel em geral é bom, o que achamos ruim foi o tamanho do quarto e do banheiro. Em se tratando de Paris já esperávamos encontrar um quarto pequeno, mas mesmo assim ficamos decepcionados. Chegamos com duas malas grandes, foi uma dificuldade abri-las. Localização ótima, a duas quadras de St Germain. Mercados e restaurantes próximos. Funcionários atenciosos. Internet free, boa qualidade.",location,POS,Localização,"[252, 263]",ótima,"[264, 269]",explicit
